# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00
-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00
-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00
-2.299999999999999378e+00,4.594514345879832651e-03,-2.299999999999999378e+00,1.379161468310404620e-04,-2.299999999999999378e+00,4.456598199048792189e-03,-2.299999999999999378e+00,1.379161468310404620e-04,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,4.456598199048792189e-03
-2.099999999999999201e+00,1.713804870972995553e-01,-2.099999999999999201e+00,1.459785079971339383e-01,-2.099999999999999201e+00,2.540197910016559271e-02,-2.099999999999999201e+00,1.255283920117731822e-01,-2.099999999999999201e+00,3.751596334938245986e-02,-2.099999999999999201e+00,8.336131736143807466e-03
-1.899999999999999023e+00,2.803421488398724293e+00,-1.899999999999999023e+00,2.761207226023139505e+00,-1.899999999999999023e+00,4.221426237558403849e-02,-1.899999999999999023e+00,2.542170891254786902e+00,-1.899999999999999023e+00,2.560954751628710113e-01,-1.899999999999999023e+00,5.155121981065894678e-03
-1.699999999999998845e+00,4.823985698741795503e+00,-1.699999999999998845e+00,4.788244411462995842e+00,-1.699999999999998845e+00,3.574128727879087586e-02,-1.699999999999998845e+00,4.225320114257495874e+00,-1.699999999999998845e+00,5.930886489169284737e-01,-1.699999999999998845e+00,5.576935567369999819e-03
-1.499999999999998668e+00,5.439229023991760670e+00,-1.499999999999998668e+00,5.342994445143938620e+00,-1.499999999999998668e+00,9.623457884780778349e-02,-1.499999999999998668e+00,4.535775199075721353e+00,-1.499999999999998668e+00,8.977258597105680638e-01,-1.499999999999998668e+00,5.727965205473981372e-03
-1.299999999999998490e+00,5.918929138556627834e+00,-1.299999999999998490e+00,5.636786828296494356e+00,-1.299999999999998490e+00,2.821423102601343658e-01,-1.299999999999998490e+00,4.715454978125562135e+00,-1.299999999999998490e+00,1.187289515606021251e+00,-1.299999999999998490e+00,1.618464482505017552e-02
-1.099999999999998312e+00,6.585281945391581182e+00,-1.099999999999998312e+00,5.996295728368027156e+00,-1.099999999999998312e+00,5.889862170235630190e-01,-1.099999999999998312e+00,5.077758014140094645e+00,-1.099999999999998312e+00,1.493138267992488721e+00,-1.099999999999998312e+00,1.438566325899565297e-02
-8.999999999999981348e-01,7.134470325158118520e+00,-8.999999999999981348e-01,6.214955551727892491e+00,-8.999999999999981348e-01,9.195147734302254738e-01,-8.999999999999981348e-01,5.392961733863598894e+00,-8.999999999999981348e-01,1.704576982011838604e+00,-8.999999999999981348e-01,3.693160928268010568e-02
-6.999999999999979572e-01,7.357202666675018321e+00,-6.999999999999979572e-01,6.084221198080088655e+00,-6.999999999999979572e-01,1.272981468594905685e+00,-6.999999999999979572e-01,5.408526654498333031e+00,-6.999999999999979572e-01,1.884250294900677414e+00,-6.999999999999979572e-01,6.442571727600368559e-02
-4.999999999999977796e-01,7.254591118025826901e+00,-4.999999999999977796e-01,5.650759642585288844e+00,-4.999999999999977796e-01,1.603831475440548271e+00,-4.999999999999977796e-01,5.361478563595059477e+00,-4.999999999999977796e-01,1.816370161744844225e+00,-4.999999999999977796e-01,7.674239268592386587e-02
-2.999999999999976019e-01,7.220186869441156396e+00,-2.999999999999976019e-01,5.191800218974973902e+00,-2.999999999999976019e-01,2.028386650466232677e+00,-2.999999999999976019e-01,5.306509593386374846e+00,-2.999999999999976019e-01,1.765523373377809069e+00,-2.999999999999976019e-01,1.481539026769767842e-01
-9.999999999999742428e-02,7.025608039796096271e+00,-9.999999999999742428e-02,4.515679156408157091e+00,-9.999999999999742428e-02,2.509928883387817944e+00,-9.999999999999742428e-02,5.227827599195797426e+00,-9.999999999999742428e-02,1.619388267593440123e+00,-9.999999999999742428e-02,1.783921730068453448e-01
1.000000000000027534e-01,6.843900359570902481e+00,1.000000000000027534e-01,3.724970320493856679e+00,1.000000000000027534e-01,3.118930039077060901e+00,1.000000000000027534e-01,5.138218931116456112e+00,1.000000000000027534e-01,1.553630411288481117e+00,1.000000000000027534e-01,1.520510171659785748e-01
3.000000000000029310e-01,6.803823072213386780e+00,3.000000000000029310e-01,3.056800122178749302e+00,3.000000000000029310e-01,3.747022950034712085e+00,3.000000000000029310e-01,5.133238941109861564e+00,3.000000000000029310e-01,1.533522653495695165e+00,3.000000000000029310e-01,1.370614776078427632e-01
5.000000000000031086e-01,6.934288321940196731e+00,5.000000000000031086e-01,2.524670562027380161e+00,5.000000000000031086e-01,4.409617759912694446e+00,5.000000000000031086e-01,5.251841673081923290e+00,5.000000000000031086e-01,1.570779116294606093e+00,5.000000000000031086e-01,1.116675325636214133e-01
7.000000000000032863e-01,7.139910244767105674e+00,7.000000000000032863e-01,2.114974751775888340e+00,7.000000000000032863e-01,5.024935492991231101e+00,7.000000000000032863e-01,5.424916392449671498e+00,7.000000000000032863e-01,1.620885352019777237e+00,7.000000000000032863e-01,9.410850029767660330e-02
9.000000000000034639e-01,7.270603116307263747e+00,9.000000000000034639e-01,1.822014743731126707e+00,9.000000000000034639e-01,5.448588372576145034e+00,9.000000000000034639e-01,5.475276408936045947e+00,9.000000000000034639e-01,1.726277074287764890e+00,9.000000000000034639e-01,6.904963308341570405e-02
1.100000000000003642e+00,5.355274011829754599e+00,1.100000000000003642e+00,1.234863994690906575e+00,1.100000000000003642e+00,4.120410017138913084e+00,1.100000000000003642e+00,3.952171140687723572e+00,1.100000000000003642e+00,1.350732668945480830e+00,1.100000000000003642e+00,5.237020219657791825e-02
1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00
1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00
1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00
