# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00
-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00
-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00
-2.299999999999999378e+00,5.644348336686578127e-04,-2.299999999999999378e+00,5.193488748022204518e-04,-2.299999999999999378e+00,4.508595886643734053e-05,-2.299999999999999378e+00,4.641392880193263479e-04,-2.299999999999999378e+00,4.562834780296990718e-05,-2.299999999999999378e+00,5.466719784636148302e-05
-2.099999999999999201e+00,2.129214080078588867e-01,-2.099999999999999201e+00,1.829921481510019821e-01,-2.099999999999999201e+00,2.992925985685689072e-02,-2.099999999999999201e+00,1.633283568299245259e-01,-2.099999999999999201e+00,4.703174955653376815e-02,-2.099999999999999201e+00,2.561301621400548841e-03
-1.899999999999999023e+00,5.098732784401506235e-01,-1.899999999999999023e+00,4.791264349961523172e-01,-1.899999999999999023e+00,3.074684344399847974e-02,-1.899999999999999023e+00,2.817487742688428165e-01,-1.899999999999999023e+00,2.274085241464143814e-01,-1.899999999999999023e+00,7.159800248936536117e-04
-1.699999999999998845e+00,5.418268755161068650e-01,-1.699999999999998845e+00,5.152382428555062344e-01,-1.699999999999998845e+00,2.658863266060029415e-02,-1.699999999999998845e+00,3.078038293731242270e-01,-1.699999999999998845e+00,2.306074955705584573e-01,-1.699999999999998845e+00,3.415550572424220707e-03
-1.499999999999998668e+00,6.191882533030356184e-01,-1.499999999999998668e+00,5.866161490308294812e-01,-1.499999999999998668e+00,3.257210427220887800e-02,-1.499999999999998668e+00,4.024337978954052875e-01,-1.499999999999998668e+00,2.097572971280742826e-01,-1.499999999999998668e+00,6.997158279556609482e-03
-1.299999999999998490e+00,7.150115675199345544e-01,-1.299999999999998490e+00,6.708672960280447350e-01,-1.299999999999998490e+00,4.414427149189519700e-02,-1.299999999999998490e+00,4.713829349114084244e-01,-1.299999999999998490e+00,2.196359669624075028e-01,-1.299999999999998490e+00,2.399266564611681266e-02
-1.099999999999998312e+00,7.999158783850230936e-01,-1.099999999999998312e+00,7.387052950338629520e-01,-1.099999999999998312e+00,6.121058335114794302e-02,-1.099999999999998312e+00,5.608585732967155124e-01,-1.099999999999998312e+00,2.075512841572431100e-01,-1.099999999999998312e+00,3.150602093106072421e-02
-8.999999999999981348e-01,8.516209780749476321e-01,-8.999999999999981348e-01,7.667075260683826610e-01,-8.999999999999981348e-01,8.491345200656538750e-02,-8.999999999999981348e-01,6.022786753433521101e-01,-8.999999999999981348e-01,1.892421007721066528e-01,-8.999999999999981348e-01,6.010020195948466426e-02
-6.999999999999979572e-01,8.701587153718226553e-01,-6.999999999999979572e-01,7.672392784570163382e-01,-6.999999999999979572e-01,1.029194369148100086e-01,-6.999999999999979572e-01,6.180861681357472381e-01,-6.999999999999979572e-01,1.789654382845041192e-01,-6.999999999999979572e-01,7.310710895156993794e-02
-4.999999999999977796e-01,9.029149914579850389e-01,-4.999999999999977796e-01,7.799295885891529556e-01,-4.999999999999977796e-01,1.229854028688259354e-01,-4.999999999999977796e-01,6.571753980094637848e-01,-4.999999999999977796e-01,1.723198098295095626e-01,-4.999999999999977796e-01,7.341978361900845795e-02
-2.999999999999976019e-01,9.532925129516833795e-01,-2.999999999999976019e-01,7.715956944362789560e-01,-2.999999999999976019e-01,1.816968185154119730e-01,-2.999999999999976019e-01,6.769598089763448900e-01,-2.999999999999976019e-01,2.088553221009269156e-01,-2.999999999999976019e-01,6.747738187440815993e-02
-9.999999999999742428e-02,8.492395696058633314e-01,-9.999999999999742428e-02,6.287317967805589047e-01,-9.999999999999742428e-02,2.205077728253033442e-01,-9.999999999999742428e-02,5.870574330355017301e-01,-9.999999999999742428e-02,2.102167614022851239e-01,-9.999999999999742428e-02,5.196537516807309132e-02
1.000000000000027534e-01,8.484909644951583729e-01,1.000000000000027534e-01,5.484821491667284388e-01,1.000000000000027534e-01,3.000088153284442005e-01,1.000000000000027534e-01,5.670066586747574133e-01,1.000000000000027534e-01,2.429246287828356332e-01,1.000000000000027534e-01,3.855967703756284226e-02
3.000000000000029310e-01,7.752173025125663752e-01,3.000000000000029310e-01,4.250677153352090953e-01,3.000000000000029310e-01,3.501495871773663282e-01,3.000000000000029310e-01,5.290310075856825556e-01,3.000000000000029310e-01,2.223645045104798434e-01,3.000000000000029310e-01,2.382179041640031247e-02
5.000000000000031086e-01,7.762387914625896723e-01,5.000000000000031086e-01,3.629010545984261427e-01,5.000000000000031086e-01,4.133377368641590333e-01,5.000000000000031086e-01,5.530373855375163572e-01,5.000000000000031086e-01,2.082244839086429267e-01,5.000000000000031086e-01,1.497692201644869152e-02
7.000000000000032863e-01,7.964944960611392011e-01,7.000000000000032863e-01,2.784217145879693822e-01,7.000000000000032863e-01,5.180727814732122294e-01,7.000000000000032863e-01,5.727284377557733119e-01,7.000000000000032863e-01,2.056908901695576330e-01,7.000000000000032863e-01,1.807516813582292145e-02
9.000000000000034639e-01,8.569729202677986990e-01,9.000000000000034639e-01,2.383774407035068876e-01,9.000000000000034639e-01,6.185954795643124893e-01,9.000000000000034639e-01,6.597736674447123306e-01,9.000000000000034639e-01,1.846643696447064775e-01,9.000000000000034639e-01,1.253488317840056876e-02
1.100000000000003642e+00,6.427361369407562641e-01,1.100000000000003642e+00,1.253969170274382983e-01,1.100000000000003642e+00,5.173392199133202141e-01,1.100000000000003642e+00,5.222110961844045329e-01,1.100000000000003642e+00,1.124433793627844930e-01,1.100000000000003642e+00,8.081661393560726075e-03
1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00
1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00
1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00
