# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,2.466591464473956163e-01,5.145322575168460519e-03,2.466591464473956163e-01,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,1.640643730921657883e-01,5.145322575168460519e-03,3.017016318449286180e-02,5.145322575168460519e-03,5.242461017073700436e-02
8.154786722400979987e-03,1.522534831268104583e+01,8.154786722400979987e-03,1.465923592003991871e+01,8.154786722400979987e-03,5.661123926411203433e-01,8.154786722400979987e-03,1.187313803190642503e+01,8.154786722400979987e-03,2.690016454499374099e+00,8.154786722400979987e-03,6.621938262752385951e-01
1.292446596230559588e-02,1.723300791682244437e+02,1.292446596230559588e-02,1.691393300347544084e+02,1.292446596230559588e-02,3.190749133470156540e+00,1.292446596230559588e-02,1.588709621093776434e+02,1.292446596230559588e-02,1.320580713170808984e+01,1.292446596230559588e-02,2.533099271387296292e-01
2.048389811985352332e-02,1.305547946076901269e+02,2.048389811985352332e-02,1.285196178939559957e+02,2.048389811985352332e-02,2.035176713734032194e+00,2.048389811985352332e-02,1.132261168279468393e+02,2.048389811985352332e-02,1.717404894110281077e+01,2.048389811985352332e-02,1.546288386404625070e-01
3.246479068522285794e-02,6.477824576338740314e+01,3.246479068522285794e-02,6.335396597151552101e+01,3.246479068522285794e-02,1.424279791871821743e+00,3.246479068522285794e-02,5.217582128450122525e+01,3.246479068522285794e-02,1.237682314394708882e+01,3.246479068522285794e-02,2.256013349390906253e-01
5.145322575168470580e-02,3.192260899592636392e+01,5.145322575168470580e-02,3.064013515821097400e+01,5.145322575168470580e-02,1.282473837715430331e+00,5.145322575168470580e-02,2.476256256801693922e+01,5.145322575168470580e-02,7.021804662944418851e+00,5.145322575168470580e-02,1.382417649650395097e-01
8.154786722400997334e-02,1.753660196445690644e+01,8.154786722400997334e-02,1.637178267136781784e+01,8.154786722400997334e-02,1.164819293089194518e+00,8.154786722400997334e-02,1.374935162749563311e+01,8.154786722400997334e-02,3.515107639576485976e+00,8.154786722400997334e-02,2.721426973848365960e-01
1.292446596230562295e-01,1.147395898151217075e+01,1.292446596230562295e-01,1.047431620019710685e+01,1.292446596230562295e-01,9.996427813150789987e-01,1.292446596230562295e-01,8.913326380040432539e+00,1.292446596230562295e-01,2.306311632375076304e+00,1.292446596230562295e-01,2.543209690966417025e-01
2.048389811985356634e-01,7.648180505217670344e+00,2.048389811985356634e-01,6.757589876496891357e+00,2.048389811985356634e-01,8.905906287207423500e-01,2.048389811985356634e-01,6.031971786366147725e+00,2.048389811985356634e-01,1.373623182806525955e+00,2.048389811985356634e-01,2.425855360449456211e-01
3.246479068522293288e-01,5.211121563545950686e+00,3.246479068522293288e-01,4.394908596962694425e+00,3.246479068522293288e-01,8.162129665832575931e-01,3.246479068522293288e-01,4.078301941883714754e+00,3.246479068522293288e-01,8.999064461123426062e-01,3.246479068522293288e-01,2.329131755499216638e-01
5.145322575168480572e-01,3.556798053296575723e+00,5.145322575168480572e-01,2.787660217014168662e+00,5.145322575168480572e-01,7.691378362824143888e-01,5.145322575168480572e-01,2.812216571492901274e+00,5.145322575168480572e-01,5.780074699040333996e-01,5.145322575168480572e-01,1.665740118996670571e-01
8.154786722401015098e-01,2.337789290608180970e+00,8.154786722401015098e-01,1.694844193489538187e+00,8.154786722401015098e-01,6.429450971186302377e-01,8.154786722401015098e-01,1.808186412011002497e+00,8.154786722401015098e-01,4.194004141764576810e-01,8.154786722401015098e-01,1.102024644207404841e-01
1.292446596230564904e+00,1.489449586700133610e+00,1.292446596230564904e+00,1.003569073966771308e+00,1.292446596230564904e+00,4.858805127333546414e-01,1.292446596230564904e+00,1.111947635684108260e+00,1.292446596230564904e+00,3.157024543027805996e-01,1.292446596230564904e+00,6.179949671324175275e-02
