# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,1.084233262495813178e-02,5.145322575168460519e-03,1.084233262495813178e-02,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,1.084233262495813178e-02,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,0.000000000000000000e+00
8.154786722400979987e-03,1.521664890858490260e+01,8.154786722400979987e-03,1.442109725631674699e+01,8.154786722400979987e-03,7.955516522681540525e-01,8.154786722400979987e-03,1.249559539639773575e+01,8.154786722400979987e-03,2.190110030993853485e+00,8.154786722400979987e-03,5.309434811933092524e-01
1.292446596230559588e-02,1.720244083666125050e+02,1.292446596230559588e-02,1.685514017866360348e+02,1.292446596230559588e-02,3.473006579976405384e+00,1.292446596230559588e-02,1.590018811715789298e+02,1.292446596230559588e-02,1.275917097281764967e+01,1.292446596230559588e-02,2.633562222158632449e-01
2.048389811985352332e-02,1.287890060487597168e+02,2.048389811985352332e-02,1.272269236962289654e+02,2.048389811985352332e-02,1.562082352530706819e+00,2.048389811985352332e-02,1.121270471118262151e+02,2.048389811985352332e-02,1.651641643824620687e+01,2.048389811985352332e-02,1.455424986872570214e-01
3.246479068522285794e-02,6.575873189158367893e+01,3.246479068522285794e-02,6.413459677566605421e+01,3.246479068522285794e-02,1.624135115917697991e+00,3.246479068522285794e-02,5.272917970217491046e+01,3.246479068522285794e-02,1.268206297039037800e+01,3.246479068522285794e-02,3.474892190183862528e-01
5.145322575168470580e-02,3.275477003202326642e+01,5.145322575168470580e-02,3.130026888786509787e+01,5.145322575168470580e-02,1.454501144158213854e+00,5.145322575168470580e-02,2.537957393870587808e+01,5.145322575168470580e-02,7.146702163967304067e+00,5.145322575168470580e-02,2.284939293501003499e-01
8.154786722400997334e-02,1.749752247071558031e+01,8.154786722400997334e-02,1.642712259749265158e+01,8.154786722400997334e-02,1.070399873222800613e+00,8.154786722400997334e-02,1.366262397717365040e+01,8.154786722400997334e-02,3.596577976761679007e+00,8.154786722400997334e-02,2.383205167801525359e-01
1.292446596230562295e-01,1.105988730699730915e+01,1.292446596230562295e-01,1.011721277559199628e+01,1.292446596230562295e-01,9.426745314053267544e-01,1.292446596230562295e-01,8.763438805120712161e+00,1.292446596230562295e-01,2.064007745474678135e+00,1.292446596230562295e-01,2.324407564019154715e-01
2.048389811985356634e-01,7.519197997962034918e+00,2.048389811985356634e-01,6.645637787030541865e+00,2.048389811985356634e-01,8.735602109315002695e-01,2.048389811985356634e-01,5.994776283659911442e+00,2.048389811985356634e-01,1.308406295348586657e+00,2.048389811985356634e-01,2.160154189535528624e-01
3.246479068522293288e-01,5.053338976139500893e+00,3.246479068522293288e-01,4.285285667206846227e+00,3.246479068522293288e-01,7.680533089326300189e-01,3.246479068522293288e-01,4.045106903453635994e+00,3.246479068522293288e-01,7.954529826716949525e-01,3.246479068522293288e-01,2.127790900141587338e-01
5.145322575168480572e-01,3.533000271308472939e+00,5.145322575168480572e-01,2.766717174024298398e+00,5.145322575168480572e-01,7.662830972841884192e-01,5.145322575168480572e-01,2.768554711387565703e+00,5.145322575168480572e-01,5.921827723833346102e-01,5.145322575168480572e-01,1.722627875375744022e-01
8.154786722401015098e-01,2.329853550478764301e+00,8.154786722401015098e-01,1.683434317634657562e+00,8.154786722401015098e-01,6.464192328440977464e-01,8.154786722401015098e-01,1.792249053865940578e+00,8.154786722401015098e-01,4.117533884171850067e-01,8.154786722401015098e-01,1.258511081956363020e-01
1.292446596230564904e+00,1.498111196797067723e+00,1.292446596230564904e+00,1.016238101970652341e+00,1.292446596230564904e+00,4.818730948264179914e-01,1.292446596230564904e+00,1.124717479560726652e+00,1.292446596230564904e+00,3.162907917202765762e-01,1.292446596230564904e+00,5.710292551607713818e-02
