# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00
-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00
-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00
-2.299999999999999378e+00,8.576506850618124023e-05,-2.299999999999999378e+00,8.576506850618124023e-05,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,8.576506850618124023e-05,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,0.000000000000000000e+00
-2.099999999999999201e+00,1.572264367261331230e-01,-2.099999999999999201e+00,1.549407069014597516e-01,-2.099999999999999201e+00,2.285729824673348939e-03,-2.099999999999999201e+00,1.004127531624297576e-01,-2.099999999999999201e+00,5.229178725979109765e-02,-2.099999999999999201e+00,4.521896303912227924e-03
-1.899999999999999023e+00,2.791744791033552442e+00,-1.899999999999999023e+00,2.315099777550218452e+00,-1.899999999999999023e+00,4.766450134833320473e-01,-1.899999999999999023e+00,2.517887925566128171e+00,-1.899999999999999023e+00,2.662175809592798870e-01,-1.899999999999999023e+00,7.639284508144013504e-03
-1.699999999999998845e+00,3.612023689617923417e+00,-1.699999999999998845e+00,2.091000778515223590e+00,-1.699999999999998845e+00,1.521022911102699604e+00,-1.699999999999998845e+00,3.101648632387029814e+00,-1.699999999999998845e+00,4.982788806706117124e-01,-1.699999999999998845e+00,1.209617656028066403e-02
-1.499999999999998668e+00,4.764847224394986647e+00,-1.499999999999998668e+00,2.270341362669630492e+00,-1.499999999999998668e+00,2.494505861725350382e+00,-1.499999999999998668e+00,3.957825609451830484e+00,-1.499999999999998668e+00,7.812281862379515385e-01,-1.499999999999998668e+00,2.579342870520929740e-02
-1.299999999999998490e+00,5.942523331403489095e+00,-1.299999999999998490e+00,2.478555787881471240e+00,-1.299999999999998490e+00,3.463967543522016523e+00,-1.299999999999998490e+00,4.919527633127962041e+00,-1.299999999999998490e+00,9.724577176265080114e-01,-1.299999999999998490e+00,5.053798064900990455e-02
-1.099999999999998312e+00,7.397524763150207683e+00,-1.099999999999998312e+00,2.978733735132346183e+00,-1.099999999999998312e+00,4.418791028017859723e+00,-1.099999999999998312e+00,6.059867645210505138e+00,-1.099999999999998312e+00,1.260531529046281740e+00,-1.099999999999998312e+00,7.712558889342487067e-02
-8.999999999999981348e-01,8.765848001160250647e+00,-8.999999999999981348e-01,3.440441310292728261e+00,-8.999999999999981348e-01,5.325406690867534820e+00,-8.999999999999981348e-01,7.129485422224846936e+00,-8.999999999999981348e-01,1.534984284619631767e+00,-8.999999999999981348e-01,1.013782943157655603e-01
-6.999999999999979572e-01,9.956439364783385315e+00,-6.999999999999979572e-01,3.815011349828997034e+00,-6.999999999999979572e-01,6.141428014954371406e+00,-6.999999999999979572e-01,7.945567121138993549e+00,-6.999999999999979572e-01,1.849471138714961160e+00,-6.999999999999979572e-01,1.614011049294145628e-01
-4.999999999999977796e-01,1.099350530183070163e+01,-4.999999999999977796e-01,4.311734452784186544e+00,-4.999999999999977796e-01,6.681770849046480443e+00,-4.999999999999977796e-01,8.666812719835466083e+00,-4.999999999999977796e-01,2.092647781966216147e+00,-4.999999999999977796e-01,2.340448000290135944e-01
-2.999999999999976019e-01,1.149139890230667760e+01,-2.999999999999976019e-01,4.446715367084956405e+00,-2.999999999999976019e-01,7.044683535221654580e+00,-2.999999999999976019e-01,8.908271141720359054e+00,-2.999999999999976019e-01,2.316948106690047471e+00,-2.999999999999976019e-01,2.661796538962445946e-01
-9.999999999999742428e-02,1.178116597482175187e+01,-9.999999999999742428e-02,4.499506344034776895e+00,-9.999999999999742428e-02,7.281659630786919024e+00,-9.999999999999742428e-02,8.903621518920218136e+00,-9.999999999999742428e-02,2.531107907608260987e+00,-9.999999999999742428e-02,3.464365482932394436e-01
1.000000000000027534e-01,1.180447391765830645e+01,1.000000000000027534e-01,4.332704348156680929e+00,1.000000000000027534e-01,7.471769569501725883e+00,1.000000000000027534e-01,8.622320407706018486e+00,1.000000000000027534e-01,2.802215762616091954e+00,1.000000000000027534e-01,3.799377473362740010e-01
3.000000000000029310e-01,1.128892622632339560e+01,3.000000000000029310e-01,3.926390595551870533e+00,3.000000000000029310e-01,7.362535630771494866e+00,3.000000000000029310e-01,7.986195225039413259e+00,3.000000000000029310e-01,2.964359974397808628e+00,3.000000000000029310e-01,3.383710268861017667e-01
5.000000000000031086e-01,1.071653841298851262e+01,5.000000000000031086e-01,3.536821535395956673e+00,5.000000000000031086e-01,7.179716877592583479e+00,5.000000000000031086e-01,7.382105751861380405e+00,5.000000000000031086e-01,3.001042843616857692e+00,5.000000000000031086e-01,3.333898175103209849e-01
7.000000000000032863e-01,1.019136790676119197e+01,7.000000000000032863e-01,3.270737679087081240e+00,7.000000000000032863e-01,6.920630227674245738e+00,7.000000000000032863e-01,6.749207462827286896e+00,7.000000000000032863e-01,3.106282914270313000e+00,7.000000000000032863e-01,3.358775296636743457e-01
9.000000000000034639e-01,9.364828012184871042e+00,9.000000000000034639e-01,2.985727171065704066e+00,9.000000000000034639e-01,6.379100841119149656e+00,9.000000000000034639e-01,6.097703469467020021e+00,9.000000000000034639e-01,2.937522054943162875e+00,9.000000000000034639e-01,3.296024877746012161e-01
1.100000000000003642e+00,6.302535767432630109e+00,1.100000000000003642e+00,2.021548904670154023e+00,1.100000000000003642e+00,4.280986862762548029e+00,1.100000000000003642e+00,4.063916057297908502e+00,1.100000000000003642e+00,2.027008608681108992e+00,1.100000000000003642e+00,2.116111014536467549e-01
1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00
1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00
1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00
