# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00
-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00
-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00
-2.299999999999999378e+00,4.174888972966285853e-04,-2.299999999999999378e+00,4.174888972966285853e-04,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,3.900078904550240014e-04,-2.299999999999999378e+00,2.748100684160459403e-05
-2.099999999999999201e+00,3.004522592768394951e-01,-2.099999999999999201e+00,2.945062677853768629e-01,-2.099999999999999201e+00,5.945991491462613091e-03,-2.099999999999999201e+00,2.583796818491153058e-01,-2.099999999999999201e+00,4.040637296665347544e-02,-2.099999999999999201e+00,1.666204461070696068e-03
-1.899999999999999023e+00,4.981571521059749763e+00,-1.899999999999999023e+00,4.927635849278245495e+00,-1.899999999999999023e+00,5.393567178150537877e-02,-1.899999999999999023e+00,4.605383852746796514e+00,-1.899999999999999023e+00,3.731342016430811426e-01,-1.899999999999999023e+00,3.053466669874503429e-03
-1.699999999999998845e+00,5.911589959089586621e+00,-1.699999999999998845e+00,5.882359072480271678e+00,-1.699999999999998845e+00,2.923088660930997160e-02,-1.699999999999998845e+00,5.128418409210816264e+00,-1.699999999999998845e+00,7.806230225945660628e-01,-1.699999999999998845e+00,2.548527284203642475e-03
-1.499999999999998668e+00,4.585706605996088925e+00,-1.499999999999998668e+00,4.551580001831334599e+00,-1.499999999999998668e+00,3.412660416475768455e-02,-1.499999999999998668e+00,3.703737868804109823e+00,-1.499999999999998668e+00,8.752442977296100990e-01,-1.499999999999998668e+00,6.724439462371106270e-03
-1.299999999999998490e+00,3.569127847188684921e+00,-1.299999999999998490e+00,3.545520597074197422e+00,-1.299999999999998490e+00,2.360725011448636806e-02,-1.299999999999998490e+00,2.742284066068179982e+00,-1.299999999999998490e+00,8.099696584993265613e-01,-1.299999999999998490e+00,1.687412262117672992e-02
-1.099999999999998312e+00,2.983393841676140301e+00,-1.099999999999998312e+00,2.953839840831006036e+00,-1.099999999999998312e+00,2.955400084513461201e-02,-1.099999999999998312e+00,2.299859867136385017e+00,-1.099999999999998312e+00,6.420465297776550839e-01,-1.099999999999998312e+00,4.148744476209836884e-02
-8.999999999999981348e-01,2.995075381172990436e+00,-8.999999999999981348e-01,2.959997155497662735e+00,-8.999999999999981348e-01,3.507822567533222524e-02,-8.999999999999981348e-01,2.421251821765813439e+00,-8.999999999999981348e-01,5.195895312742937477e-01,-8.999999999999981348e-01,5.423402813288936281e-02
-6.999999999999979572e-01,3.065218152617334102e+00,-6.999999999999979572e-01,3.022291499507845813e+00,-6.999999999999979572e-01,4.292665310948169666e-02,-6.999999999999979572e-01,2.469985903657029969e+00,-6.999999999999979572e-01,5.135078442685837574e-01,-6.999999999999979572e-01,8.172440469169339750e-02
-4.999999999999977796e-01,3.182951722878722745e+00,-4.999999999999977796e-01,3.115961930117236545e+00,-4.999999999999977796e-01,6.698979276147350170e-02,-4.999999999999977796e-01,2.541290372931019004e+00,-4.999999999999977796e-01,5.106882175756952691e-01,-4.999999999999977796e-01,1.309731323720152163e-01
-2.999999999999976019e-01,3.255998535248512571e+00,-2.999999999999976019e-01,3.182842762414072268e+00,-2.999999999999976019e-01,7.315577283443201739e-02,-2.999999999999976019e-01,2.544330353301361036e+00,-2.999999999999976019e-01,5.385436069287926619e-01,-2.999999999999976019e-01,1.731245750183542653e-01
-9.999999999999742428e-02,3.146565883088203286e+00,-9.999999999999742428e-02,3.041840367132219836e+00,-9.999999999999742428e-02,1.047255159559901949e-01,-9.999999999999742428e-02,2.433580938767109458e+00,-9.999999999999742428e-02,5.463843690128064035e-01,-9.999999999999742428e-02,1.666005753082999141e-01
1.000000000000027534e-01,2.956054772908345285e+00,1.000000000000027534e-01,2.829098889305034170e+00,1.000000000000027534e-01,1.269558836033095606e-01,1.000000000000027534e-01,2.230311004311236189e+00,1.000000000000027534e-01,5.848924389053953288e-01,1.000000000000027534e-01,1.408513296917544844e-01
3.000000000000029310e-01,2.903959920780120996e+00,3.000000000000029310e-01,2.721138207643255758e+00,3.000000000000029310e-01,1.828217131368513049e-01,3.000000000000029310e-01,2.048398779775237433e+00,3.000000000000029310e-01,7.264546336766888324e-01,3.000000000000029310e-01,1.291065073281782993e-01
5.000000000000031086e-01,2.306586005338607137e+00,5.000000000000031086e-01,2.065305583593204375e+00,5.000000000000031086e-01,2.412804217454125044e-01,5.000000000000031086e-01,1.610773547435291997e+00,5.000000000000031086e-01,6.450117261515511125e-01,5.000000000000031086e-01,5.080073175174905364e-02
7.000000000000032863e-01,2.168496668354918722e+00,7.000000000000032863e-01,1.720537085215201767e+00,7.000000000000032863e-01,4.479595831397301664e-01,7.000000000000032863e-01,1.578842269602906967e+00,7.000000000000032863e-01,5.241279987677139873e-01,7.000000000000032863e-01,6.552639998432814583e-02
9.000000000000034639e-01,2.239599423425953972e+00,9.000000000000034639e-01,1.461439201245906983e+00,9.000000000000034639e-01,7.781602221800532071e-01,9.000000000000034639e-01,1.663208802937267139e+00,9.000000000000034639e-01,5.387726556073770823e-01,9.000000000000034639e-01,3.761796488132086724e-02
1.100000000000003642e+00,1.777550475676232589e+00,1.100000000000003642e+00,9.488466283042038540e-01,1.100000000000003642e+00,8.287038473720574894e-01,1.100000000000003642e+00,1.350854250590054706e+00,1.100000000000003642e+00,3.894097040777884100e-01,1.100000000000003642e+00,3.728652100834484173e-02
1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00
1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00
1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00
