# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,6.217086818428475825e-02,5.145322575168460519e-03,6.217086818428475825e-02,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,3.482251831973849632e-02,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,2.734834986454626540e-02
8.154786722400979987e-03,1.585011641015800166e+01,8.154786722400979987e-03,1.512729415337123662e+01,8.154786722400979987e-03,7.228222567867651494e-01,8.154786722400979987e-03,1.310170919210189666e+01,8.154786722400979987e-03,2.509883723642065689e+00,8.154786722400979987e-03,2.385234944140405267e-01
1.292446596230559588e-02,1.698732105074716969e+02,1.292446596230559588e-02,1.669899937856054919e+02,1.292446596230559588e-02,2.883216721866228127e+00,1.292446596230559588e-02,1.559968030472085729e+02,1.292446596230559588e-02,1.366413459776089567e+01,1.292446596230559588e-02,2.122728625022723137e-01
2.048389811985352332e-02,1.320238467325774820e+02,2.048389811985352332e-02,1.298147812428189525e+02,2.048389811985352332e-02,2.209065489758711198e+00,2.048389811985352332e-02,1.140505575205570068e+02,2.048389811985352332e-02,1.779274415518605679e+01,2.048389811985352332e-02,1.805450568343984208e-01
3.246479068522285794e-02,6.556180132830333207e+01,3.246479068522285794e-02,6.404839832790759147e+01,3.246479068522285794e-02,1.513403000395845410e+00,3.246479068522285794e-02,5.252632624585132959e+01,3.246479068522285794e-02,1.291074437084514592e+01,3.246479068522285794e-02,1.247307116069449329e-01
5.145322575168470580e-02,3.248352450622760301e+01,5.145322575168470580e-02,3.112423081723797580e+01,5.145322575168470580e-02,1.359293688989592797e+00,5.145322575168470580e-02,2.489536142826267451e+01,5.145322575168470580e-02,7.283143489276961979e+00,5.145322575168470580e-02,3.050195886879654150e-01
8.154786722400997334e-02,1.756077720116669028e+01,8.154786722400997334e-02,1.643309634051118806e+01,8.154786722400997334e-02,1.127680860655399409e+00,8.154786722400997334e-02,1.375202850901504981e+01,8.154786722400997334e-02,3.583952243563326423e+00,8.154786722400997334e-02,2.247964485882309182e-01
1.292446596230562295e-01,1.133422207757212519e+01,1.292446596230562295e-01,1.043177199457157300e+01,1.292446596230562295e-01,9.024500830005633967e-01,1.292446596230562295e-01,8.923267186025404030e+00,1.292446596230562295e-01,2.129100877388169444e+00,1.292446596230562295e-01,2.818540141585629266e-01
2.048389811985356634e-01,7.605901325015770986e+00,2.048389811985356634e-01,6.752554855607226791e+00,2.048389811985356634e-01,8.533464694085095559e-01,2.048389811985356634e-01,6.007284850290024458e+00,2.048389811985356634e-01,1.383499667831774138e+00,2.048389811985356634e-01,2.151168068939786071e-01
3.246479068522293288e-01,5.164126433693184026e+00,3.246479068522293288e-01,4.371723503548853529e+00,3.246479068522293288e-01,7.924029301443444862e-01,3.246479068522293288e-01,4.109100579511694384e+00,3.246479068522293288e-01,8.709612261010670764e-01,3.246479068522293288e-01,1.840646280804209556e-01
5.145322575168480572e-01,3.543041146052136714e+00,5.145322575168480572e-01,2.760224515912362619e+00,5.145322575168480572e-01,7.828166301397565530e-01,5.145322575168480572e-01,2.781074573206039346e+00,5.145322575168480572e-01,5.811245658413857207e-01,5.145322575168480572e-01,1.808420070047075390e-01
8.154786722401015098e-01,2.350027007282002867e+00,8.154786722401015098e-01,1.718748251216142053e+00,8.154786722401015098e-01,6.312787560658728037e-01,8.154786722401015098e-01,1.798952869511431185e+00,8.154786722401015098e-01,4.337188702454966016e-01,8.154786722401015098e-01,1.173552675250668503e-01
1.292446596230564904e+00,1.491211670917921950e+00,1.292446596230564904e+00,1.002638527144257052e+00,1.292446596230564904e+00,4.885731437736603455e-01,1.292446596230564904e+00,1.108662677302418631e+00,1.292446596230564904e+00,3.267429544854674739e-01,1.292446596230564904e+00,5.580603913002783051e-02
