# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00
-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00
-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00
-2.299999999999999378e+00,1.529362368908009865e-03,-2.299999999999999378e+00,1.529362368908009865e-03,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,1.529362368908009865e-03,-2.299999999999999378e+00,0.000000000000000000e+00
-2.099999999999999201e+00,1.582725630303075948e-01,-2.099999999999999201e+00,1.541195232467595655e-01,-2.099999999999999201e+00,4.153039783548017998e-03,-2.099999999999999201e+00,1.492954317284929666e-01,-2.099999999999999201e+00,8.977131301814629885e-03,-2.099999999999999201e+00,0.000000000000000000e+00
-1.899999999999999023e+00,7.758720769903753478e+00,-1.899999999999999023e+00,7.750075899206248842e+00,-1.899999999999999023e+00,8.644870697502221590e-03,-1.899999999999999023e+00,7.737592234687606485e+00,-1.899999999999999023e+00,2.112853521614824204e-02,-1.899999999999999023e+00,0.000000000000000000e+00
-1.699999999999998845e+00,1.092172432893883460e+01,-1.699999999999998845e+00,1.089809281799261598e+01,-1.699999999999998845e+00,2.363151094619835718e-02,-1.699999999999998845e+00,1.074053032401664076e+01,-1.699999999999998845e+00,1.811940049221967552e-01,-1.699999999999998845e+00,0.000000000000000000e+00
-1.499999999999998668e+00,3.583457445258175778e+00,-1.499999999999998668e+00,3.575848468067419628e+00,-1.499999999999998668e+00,7.608977190752068062e-03,-1.499999999999998668e+00,3.303082254345521829e+00,-1.499999999999998668e+00,2.803751909126447339e-01,-1.499999999999998668e+00,0.000000000000000000e+00
-1.299999999999998490e+00,3.077940906064773330e+00,-1.299999999999998490e+00,3.066514320780364233e+00,-1.299999999999998490e+00,1.142658528441597640e-02,-1.299999999999998490e+00,2.783295258132097771e+00,-1.299999999999998490e+00,2.946456479326828304e-01,-1.299999999999998490e+00,0.000000000000000000e+00
-1.099999999999998312e+00,3.100304536388590826e+00,-1.099999999999998312e+00,3.084665886623672915e+00,-1.099999999999998312e+00,1.563864976489789949e-02,-1.099999999999998312e+00,2.820296965177273130e+00,-1.099999999999998312e+00,2.800075712113243021e-01,-1.099999999999998312e+00,0.000000000000000000e+00
-8.999999999999981348e-01,3.069945722765712315e+00,-8.999999999999981348e-01,3.051421754512617657e+00,-8.999999999999981348e-01,1.852396825309799919e-02,-8.999999999999981348e-01,2.843048645916220085e+00,-8.999999999999981348e-01,2.268970768494921186e-01,-8.999999999999981348e-01,0.000000000000000000e+00
-6.999999999999979572e-01,2.959633364501077057e+00,-6.999999999999979572e-01,2.943364774839842823e+00,-6.999999999999979572e-01,1.626858966122834288e-02,-6.999999999999979572e-01,2.750597593959278608e+00,-6.999999999999979572e-01,2.090357705417876799e-01,-6.999999999999979572e-01,0.000000000000000000e+00
-4.999999999999977796e-01,2.870336096180151397e+00,-4.999999999999977796e-01,2.736739519603606396e+00,-4.999999999999977796e-01,1.335965765765384228e-01,-4.999999999999977796e-01,2.603606744834524811e+00,-4.999999999999977796e-01,2.667293513456271414e-01,-4.999999999999977796e-01,0.000000000000000000e+00
-2.999999999999976019e-01,2.850181982332024244e+00,-2.999999999999976019e-01,2.496817619132244648e+00,-2.999999999999976019e-01,3.533643631997787082e-01,-2.999999999999976019e-01,2.584798364640239487e+00,-2.999999999999976019e-01,2.653836176917758194e-01,-2.999999999999976019e-01,0.000000000000000000e+00
-9.999999999999742428e-02,2.679789884162519620e+00,-9.999999999999742428e-02,2.120148319852970253e+00,-9.999999999999742428e-02,5.596415643095513648e-01,-9.999999999999742428e-02,2.460591215468229453e+00,-9.999999999999742428e-02,2.191986686942963558e-01,-9.999999999999742428e-02,0.000000000000000000e+00
1.000000000000027534e-01,2.887422606360201982e+00,1.000000000000027534e-01,2.095048475146243483e+00,1.000000000000027534e-01,7.923741312139579440e-01,1.000000000000027534e-01,2.657480625722133283e+00,1.000000000000027534e-01,2.299419806380763875e-01,1.000000000000027534e-01,0.000000000000000000e+00
3.000000000000029310e-01,2.854323935116778621e+00,3.000000000000029310e-01,1.777141909157028854e+00,3.000000000000029310e-01,1.077182025959722900e+00,3.000000000000029310e-01,2.538428265433229303e+00,3.000000000000029310e-01,3.158956696835493738e-01,3.000000000000029310e-01,0.000000000000000000e+00
5.000000000000031086e-01,2.769599884212036844e+00,5.000000000000031086e-01,1.363103033252253793e+00,5.000000000000031086e-01,1.406496850959794820e+00,5.000000000000031086e-01,2.356254321823433084e+00,5.000000000000031086e-01,4.133455623886060915e-01,5.000000000000031086e-01,0.000000000000000000e+00
7.000000000000032863e-01,2.970634694258125208e+00,7.000000000000032863e-01,1.258455311658869036e+00,7.000000000000032863e-01,1.712179382599231303e+00,7.000000000000032863e-01,2.403187580174589666e+00,7.000000000000032863e-01,5.674471140835457561e-01,7.000000000000032863e-01,0.000000000000000000e+00
9.000000000000034639e-01,3.165308878914430135e+00,9.000000000000034639e-01,1.133347248667164742e+00,9.000000000000034639e-01,2.031961630247337336e+00,9.000000000000034639e-01,2.592868938288829916e+00,9.000000000000034639e-01,5.724399406256119871e-01,9.000000000000034639e-01,0.000000000000000000e+00
1.100000000000003642e+00,2.412884109576280967e+00,1.100000000000003642e+00,7.907226212724339787e-01,1.100000000000003642e+00,1.622161488303867305e+00,1.100000000000003642e+00,2.003729244742588289e+00,1.100000000000003642e+00,4.091548648337168803e-01,1.100000000000003642e+00,0.000000000000000000e+00
1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00
1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00
1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00
