# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,2.731157088005503608e-02,5.145322575168460519e-03,2.731157088005503608e-02,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,0.000000000000000000e+00,5.145322575168460519e-03,2.731157088005503608e-02,5.145322575168460519e-03,0.000000000000000000e+00
8.154786722400979987e-03,6.371516896560650345e+00,8.154786722400979987e-03,6.238603452579337905e+00,8.154786722400979987e-03,1.329134439813102475e-01,8.154786722400979987e-03,5.978191983810076771e+00,8.154786722400979987e-03,3.933249127505715759e-01,8.154786722400979987e-03,0.000000000000000000e+00
1.292446596230559588e-02,2.726034779597956117e+02,1.292446596230559588e-02,2.721453425093350234e+02,1.292446596230559588e-02,4.581354504604415734e-01,1.292446596230559588e-02,2.716882250317140119e+02,1.292446596230559588e-02,9.152529280815669965e-01,1.292446596230559588e-02,0.000000000000000000e+00
2.048389811985352332e-02,2.838066494653113523e+02,2.048389811985352332e-02,2.836695503225366792e+02,2.048389811985352332e-02,1.370991427744837898e-01,2.048389811985352332e-02,2.777602203162956016e+02,2.048389811985352332e-02,6.046429149015578375e+00,2.048389811985352332e-02,0.000000000000000000e+00
3.246479068522285794e-02,5.348174680176831686e+01,3.246479068522285794e-02,5.340490004522234102e+01,3.246479068522285794e-02,7.684675654597114547e-02,3.246479068522285794e-02,4.766821819496274770e+01,3.246479068522285794e-02,5.813528606805644650e+00,3.246479068522285794e-02,0.000000000000000000e+00
5.145322575168470580e-02,2.880558502103652430e+01,5.145322575168470580e-02,2.868911436629794665e+01,5.145322575168470580e-02,1.164706547388234953e-01,5.145322575168470580e-02,2.510378091314170490e+01,5.145322575168470580e-02,3.701804107894922868e+00,5.145322575168470580e-02,0.000000000000000000e+00
8.154786722400997334e-02,1.798802367991649831e+01,8.154786722400997334e-02,1.792925069750151934e+01,8.154786722400997334e-02,5.877298241492547037e-02,8.154786722400997334e-02,1.598683893330440853e+01,8.154786722400997334e-02,2.001184746612036047e+00,8.154786722400997334e-02,0.000000000000000000e+00
1.292446596230562295e-01,1.101519144515917858e+01,1.292446596230562295e-01,1.091979630025710613e+01,1.292446596230562295e-01,9.539514490202899433e-02,1.292446596230562295e-01,9.993636570597328017e+00,1.292446596230562295e-01,1.021554874561825699e+00,1.292446596230562295e-01,0.000000000000000000e+00
2.048389811985356634e-01,6.778908607487816873e+00,2.048389811985356634e-01,6.742174381880856160e+00,2.048389811985356634e-01,3.673422560696659039e-02,2.048389811985356634e-01,6.204037225741401151e+00,2.048389811985356634e-01,5.748713817464217168e-01,2.048389811985356634e-01,0.000000000000000000e+00
3.246479068522293288e-01,4.030864476918669226e+00,3.246479068522293288e-01,3.833442517866844312e+00,3.246479068522293288e-01,1.974219590518340450e-01,3.246479068522293288e-01,3.625725357098984247e+00,3.246479068522293288e-01,4.051391198197034638e-01,3.246479068522293288e-01,0.000000000000000000e+00
5.145322575168480572e-01,2.480741655395799050e+00,5.145322575168480572e-01,2.177193911458975784e+00,5.145322575168480572e-01,3.035477439368181041e-01,5.145322575168480572e-01,2.218265941198473978e+00,5.145322575168480572e-01,2.624757141973323993e-01,5.145322575168480572e-01,0.000000000000000000e+00
8.154786722401015098e-01,1.471079655541474684e+00,8.154786722401015098e-01,1.168558692926457088e+00,8.154786722401015098e-01,3.025209626150313080e-01,8.154786722401015098e-01,1.323102882800700320e+00,8.154786722401015098e-01,1.479767727407529099e-01,8.154786722401015098e-01,0.000000000000000000e+00
1.292446596230564904e+00,9.995734904761005568e-01,1.292446596230564904e+00,7.138821868963280970e-01,1.292446596230564904e+00,2.856913035797610800e-01,1.292446596230564904e+00,9.256040471378411683e-01,1.292446596230564904e+00,7.396944333825845874e-02,1.292446596230564904e+00,0.000000000000000000e+00
