# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00,1.292446596230557160e-03,0.000000000000000000e+00
2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00,2.048389811985348169e-03,0.000000000000000000e+00
3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00,3.246479068522279895e-03,0.000000000000000000e+00
5.145322575168460519e-03,1.855843305340157678e-01,5.145322575168460519e-03,1.456204016111770638e-01,5.145322575168460519e-03,3.996392892283871789e-02,5.145322575168460519e-03,4.806428755889187443e-02,5.145322575168460519e-03,9.755611405228518940e-02,5.145322575168460519e-03,3.996392892283871789e-02
8.154786722400979987e-03,1.616411465926323032e+01,8.154786722400979987e-03,1.538320914253282901e+01,8.154786722400979987e-03,7.809055167304045364e-01,8.154786722400979987e-03,1.433640195743597090e+01,8.154786722400979987e-03,1.676326323087696579e+00,8.154786722400979987e-03,1.513863787395630378e-01
1.292446596230559588e-02,9.598615055764413739e+01,1.292446596230559588e-02,9.539455007049291169e+01,1.292446596230559588e-02,5.916004871512575702e-01,1.292446596230559588e-02,8.551124465595893298e+01,1.292446596230559588e-02,1.035039745595499028e+01,1.292446596230559588e-02,1.245084457302416819e-01
2.048389811985352332e-02,9.675714893256406413e+01,2.048389811985352332e-02,9.635151697094931933e+01,2.048389811985352332e-02,4.056319616149167695e-01,2.048389811985352332e-02,8.257223944251703074e+01,2.048389811985352332e-02,1.402600201497145527e+01,2.048389811985352332e-02,1.589074750755643251e-01
3.246479068522285794e-02,6.238355445760625173e+01,3.246479068522285794e-02,6.222122567450971076e+01,3.246479068522285794e-02,1.623287830965615131e-01,3.246479068522285794e-02,5.136317204368361899e+01,3.246479068522285794e-02,1.090861976289601643e+01,3.246479068522285794e-02,1.117626510265944256e-01
5.145322575168470580e-02,3.905012495829050323e+01,5.145322575168470580e-02,3.895951243186688373e+01,5.145322575168470580e-02,9.061252642354002129e-02,5.145322575168470580e-02,3.128857506371873498e+01,5.145322575168470580e-02,7.537974838313513004e+00,5.145322575168470580e-02,2.235750562582474454e-01
8.154786722400997334e-02,2.435951121803759989e+01,8.154786722400997334e-02,2.428194808978356534e+01,8.154786722400997334e-02,7.756312825401093236e-02,8.154786722400997334e-02,1.971399700153541801e+01,8.154786722400997334e-02,4.517607898755669815e+00,8.154786722400997334e-02,1.279063177464668521e-01
1.292446596230562295e-01,1.530452007295284744e+01,1.292446596230562295e-01,1.522428981837050976e+01,1.292446596230562295e-01,8.023025458234248064e-02,1.292446596230562295e-01,1.236205537338820193e+01,1.292446596230562295e-01,2.728905613957826493e+00,1.292446596230562295e-01,2.135590856067851318e-01
2.048389811985356634e-01,9.579199000678073617e+00,2.048389811985356634e-01,9.544038579330720751e+00,2.048389811985356634e-01,3.516042134723269125e-02,2.048389811985356634e-01,7.488257709818832097e+00,2.048389811985356634e-01,1.857966206647533758e+00,2.048389811985356634e-01,2.329750842116748710e-01
3.246479068522293288e-01,5.937599239926781181e+00,3.246479068522293288e-01,5.909131922912831847e+00,3.246479068522293288e-01,2.846731701397679087e-02,3.246479068522293288e-01,4.537514002918475065e+00,3.246479068522293288e-01,1.153779839238330496e+00,3.246479068522293288e-01,2.463053977699998787e-01
5.145322575168480572e-01,3.508851974312268585e+00,5.145322575168480572e-01,3.478753839466020459e+00,5.145322575168480572e-01,3.009813484623773475e-02,5.145322575168480572e-01,2.624826576223606267e+00,5.145322575168480572e-01,7.295696922820841257e-01,5.145322575168480572e-01,1.544557058065655630e-01
8.154786722401015098e-01,1.991702206012381460e+00,8.154786722401015098e-01,1.949529282070221026e+00,8.154786722401015098e-01,4.217292394216507617e-02,8.154786722401015098e-01,1.476538188076407687e+00,8.154786722401015098e-01,4.063672173548126820e-01,8.154786722401015098e-01,1.087968005811599248e-01
1.292446596230564904e+00,1.136853291839838631e+00,1.292446596230564904e+00,1.043222575284777465e+00,1.292446596230564904e+00,9.363071655506444158e-02,1.292446596230564904e+00,8.619392054965702155e-01,1.292446596230564904e+00,2.186965741285284703e-01,1.292446596230564904e+00,5.621751221473619831e-02
