# All_xvalues,All_yvalues,CE_xvalues,CE_yvalues,stable_xvalues,stable_yvalues,lowZ_xvalues,lowZ_yvalues,midZ_xvalues,midZ_yvalues,highZ_xvalues,highZ_yvalues
-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00,-2.899999999999999911e+00,0.000000000000000000e+00
-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00,-2.699999999999999734e+00,0.000000000000000000e+00
-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00,-2.499999999999999556e+00,0.000000000000000000e+00
-2.299999999999999378e+00,5.487485976030253860e-04,-2.299999999999999378e+00,5.487485976030253860e-04,-2.299999999999999378e+00,0.000000000000000000e+00,-2.299999999999999378e+00,4.870724345118879650e-04,-2.299999999999999378e+00,6.167616309113746161e-05,-2.299999999999999378e+00,0.000000000000000000e+00
-2.099999999999999201e+00,2.757633406709832369e-01,-2.099999999999999201e+00,2.616692441055156748e-01,-2.099999999999999201e+00,1.409409656546756380e-02,-2.099999999999999201e+00,2.330684302204447667e-01,-2.099999999999999201e+00,3.936724561304628250e-02,-2.099999999999999201e+00,3.327664837492235860e-03
-1.899999999999999023e+00,2.838145979050795464e+00,-1.899999999999999023e+00,2.813288013842623503e+00,-1.899999999999999023e+00,2.485796520817209684e-02,-1.899999999999999023e+00,2.542403796421091045e+00,-1.899999999999999023e+00,2.914963948420009610e-01,-1.899999999999999023e+00,4.245787787703666182e-03
-1.699999999999998845e+00,4.475370168490133693e+00,-1.699999999999998845e+00,4.429544969988914005e+00,-1.699999999999998845e+00,4.582519850121634375e-02,-1.699999999999998845e+00,3.756936929387497681e+00,-1.699999999999998845e+00,6.845216996375086405e-01,-1.699999999999998845e+00,3.391153946512721201e-02
-1.499999999999998668e+00,4.632122109648482144e+00,-1.499999999999998668e+00,4.579844267833656168e+00,-1.499999999999998668e+00,5.227784181482463682e-02,-1.499999999999998668e+00,3.823774564033563639e+00,-1.499999999999998668e+00,8.021207828012762997e-01,-1.499999999999998668e+00,6.226762813636993119e-03
-1.299999999999998490e+00,4.532541801329221798e+00,-1.299999999999998490e+00,4.449093624027792515e+00,-1.299999999999998490e+00,8.344817730143613832e-02,-1.299999999999998490e+00,3.691085980160497826e+00,-1.299999999999998490e+00,8.291560060580439595e-01,-1.299999999999998490e+00,1.229981511068287819e-02
-1.099999999999998312e+00,4.635867542846390243e+00,-1.099999999999998312e+00,4.477286928773170693e+00,-1.099999999999998312e+00,1.585806140732171632e-01,-1.099999999999998312e+00,3.779818994111851627e+00,-1.099999999999998312e+00,8.298850926143822582e-01,-1.099999999999998312e+00,2.616345612015575500e-02
-8.999999999999981348e-01,4.795732670380683516e+00,-8.999999999999981348e-01,4.451925169941369553e+00,-8.999999999999981348e-01,3.438075004393171819e-01,-8.999999999999981348e-01,3.886305999310604609e+00,-8.999999999999981348e-01,8.406110577890704150e-01,-8.999999999999981348e-01,6.881561328102266117e-02
-6.999999999999979572e-01,5.007959568123288463e+00,-6.999999999999979572e-01,4.427417665449510764e+00,-6.999999999999979572e-01,5.805419026737670407e-01,-6.999999999999979572e-01,3.955482020924467434e+00,-6.999999999999979572e-01,9.208886687722085407e-01,-6.999999999999979572e-01,1.315888784265952516e-01
-4.999999999999977796e-01,5.217013254677022260e+00,-4.999999999999977796e-01,4.372302590460673599e+00,-4.999999999999977796e-01,8.447106642163604295e-01,-4.999999999999977796e-01,4.107560959003797585e+00,-4.999999999999977796e-01,8.843954333441670368e-01,-4.999999999999977796e-01,2.250568623290625236e-01
-2.999999999999976019e-01,5.165948310542876065e+00,-2.999999999999976019e-01,4.038088776877392760e+00,-2.999999999999976019e-01,1.127859533665483749e+00,-2.999999999999976019e-01,4.027827834824972086e+00,-2.999999999999976019e-01,8.876822486021226366e-01,-2.999999999999976019e-01,2.504382271157956641e-01
-9.999999999999742428e-02,5.056788754412244735e+00,-9.999999999999742428e-02,3.608203349517286718e+00,-9.999999999999742428e-02,1.448585404894968898e+00,-9.999999999999742428e-02,3.955553548671580710e+00,-9.999999999999742428e-02,8.936647971527009737e-01,-9.999999999999742428e-02,2.075704085879510330e-01
1.000000000000027534e-01,4.846988858574644787e+00,1.000000000000027534e-01,3.084463981121349008e+00,1.000000000000027534e-01,1.762524877453324645e+00,1.000000000000027534e-01,3.794303242759326178e+00,1.000000000000027534e-01,9.028755229399959559e-01,1.000000000000027534e-01,1.498100928753424987e-01
3.000000000000029310e-01,4.480808006606306293e+00,3.000000000000029310e-01,2.440424716693044616e+00,3.000000000000029310e-01,2.040383289913273224e+00,3.000000000000029310e-01,3.505205280166665105e+00,3.000000000000029310e-01,8.502980170022012008e-01,3.000000000000029310e-01,1.253047094374972747e-01
5.000000000000031086e-01,4.126049662007689633e+00,5.000000000000031086e-01,1.904354720886741736e+00,5.000000000000031086e-01,2.221694941120907707e+00,5.000000000000031086e-01,3.189855533106585206e+00,5.000000000000031086e-01,8.214578673125374486e-01,5.000000000000031086e-01,1.147362615885641340e-01
7.000000000000032863e-01,3.863759706547679862e+00,7.000000000000032863e-01,1.532242394810130470e+00,7.000000000000032863e-01,2.331517311737511200e+00,7.000000000000032863e-01,3.000193414058261343e+00,7.000000000000032863e-01,7.705396666555297536e-01,7.000000000000032863e-01,9.302662583387717732e-02
9.000000000000034639e-01,3.595066354910241291e+00,9.000000000000034639e-01,1.300140122337303916e+00,9.000000000000034639e-01,2.294926232572975344e+00,9.000000000000034639e-01,2.810945018441523668e+00,9.000000000000034639e-01,7.067853576232357993e-01,9.000000000000034639e-01,7.733597884543950973e-02
1.100000000000003642e+00,2.365258612026723828e+00,1.100000000000003642e+00,8.773485113877674824e-01,1.100000000000003642e+00,1.487910100638969890e+00,1.100000000000003642e+00,1.790818225347873272e+00,1.100000000000003642e+00,5.058956603626634241e-01,1.100000000000003642e+00,6.854472631624486390e-02
1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00,1.300000000000003819e+00,0.000000000000000000e+00
1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00,1.500000000000003997e+00,0.000000000000000000e+00
1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00,1.700000000000004174e+00,0.000000000000000000e+00
